time,temp_c,condition,wind_kph,wind_degree,wind_dir,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,gust_kph,uv
2025-05-07 20:00,8.5,Overcast ,6.1,233,SW,0.0,0.0,65,100,7.7,7.7,8.5,0,0,0,0,10.0,12.1,2.0
2025-05-07 21:00,7.8,Patchy rain nearby,5.0,251,WSW,0.01,0.0,72,100,7.3,7.3,7.8,1,81,0,0,10.0,9.4,0
2025-05-07 22:00,7.4,Patchy rain nearby,4.3,245,WSW,0.01,0.0,75,100,7.1,7.1,7.4,0,62,0,0,10.0,7.7,0
2025-05-07 23:00,6.9,Patchy rain nearby,4.3,216,SW,0.03,0.0,79,99,6.5,6.5,6.9,1,78,0,0,10.0,7.8,0
2025-05-08 00:00,6.9,Patchy rain nearby,2.5,175,S,0.07,0.0,82,73,6.9,6.9,6.9,1,100,0,0,10.0,4.5,0
2025-05-08 01:00,7.1,Patchy rain nearby,0.7,38,NE,0.01,0.0,83,99,7.1,7.1,7.1,1,71,0,0,10.0,1.3,0
2025-05-08 02:00,6.7,Patchy rain nearby,5.8,77,ENE,0.03,0.0,85,100,5.8,5.8,6.7,0,60,0,0,10.0,9.5,0
2025-05-08 03:00,6.6,Patchy rain nearby,7.2,87,E,0.05,0.0,87,100,5.2,5.2,6.6,0,61,0,0,10.0,11.4,0
2025-05-08 05:00,6.3,Patchy rain nearby,8.6,79,E,0.02,0.0,90,100,4.5,4.5,6.3,0,68,0,0,10.0,13.0,0
2025-05-08 06:00,6.6,Patchy rain nearby,8.6,83,E,0.03,0.0,90,100,4.8,4.8,6.6,0,60,0,0,10.0,12.3,0.0
2025-05-08 07:00,7.0,Patchy rain nearby,9.0,84,E,0.02,0.0,87,97,5.3,5.3,7.0,1,77,0,0,10.0,12.1,0.1
2025-05-08 08:00,8.2,Overcast ,11.9,76,ENE,0.0,0.0,75,100,6.2,6.2,8.2,0,0,0,0,10.0,14.2,0.3
2025-05-08 09:00,8.3,Patchy rain nearby,12.2,79,E,0.01,0.0,75,100,6.2,6.2,8.3,1,85,0,0,10.0,15.0,0.9
2025-05-08 10:00,8.2,Patchy rain nearby,11.5,85,E,0.02,0.0,75,100,6.3,6.3,8.2,1,81,0,0,10.0,14.4,2.1
2025-05-08 11:00,9.5,Patchy rain nearby,10.4,92,E,0.09,0.0,70,100,8.0,8.0,9.5,1,100,0,0,10.0,12.3,2.4
2025-05-08 12:00,10.5,Light rain shower,16.6,97,E,0.26,0.0,70,100,8.3,8.3,10.5,1,100,0,0,10.0,19.3,2.9
2025-05-08 13:00,5.7,Patchy rain nearby,11.2,87,E,0.05,0.0,92,100,3.2,3.2,5.7,1,74,0,0,10.0,14.8,2.8
2025-05-08 14:00,5.9,Patchy rain nearby,10.8,97,E,0.01,0.0,90,99,3.6,3.6,5.9,1,87,0,0,10.0,14.2,3.4
2025-05-08 15:00,6.1,Overcast ,11.9,103,ESE,0.0,0.0,89,96,3.6,3.6,6.1,0,0,0,0,10.0,15.3,3.2
2025-05-08 16:00,6.5,Overcast ,12.6,106,ESE,0.0,0.0,87,100,4.0,4.0,6.5,0,0,0,0,10.0,15.8,2.3
2025-05-08 17:00,6.7,Overcast ,12.6,104,ESE,0.0,0.0,85,100,4.2,4.2,6.7,0,0,0,0,10.0,16.1,1.6
2025-05-08 18:00,6.5,Overcast ,11.9,102,ESE,0.0,0.0,86,100,4.1,4.1,6.5,0,0,0,0,10.0,15.5,1.0
2025-05-08 19:00,6.7,Overcast ,12.2,95,E,0.0,0.0,85,100,4.3,4.3,6.7,0,0,0,0,10.0,16.3,0.4
2025-05-08 20:00,5.8,Cloudy ,11.5,91,E,0.0,0.0,89,69,3.3,3.3,5.8,0,0,0,0,10.0,16.7,0.1
2025-05-08 21:00,5.3,Cloudy ,9.7,94,E,0.0,0.0,91,69,3.1,3.1,5.3,0,0,0,0,10.0,14.8,0
